PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,LDSBGDXX01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,LDSBTNXX01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,LDSINDEA01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,LDSINDNE01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,LDSINDNO01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,LDSINDSO01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,LDSINDWE01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,LDSLKAXX01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,LDSMDVXX01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,LDSNPLXX01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,SDSBGDXX01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,SDSBTNXX01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,SDSINDEA01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,SDSINDNE01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,SDSINDNO01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,SDSINDSO01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,SDSINDWE01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,SDSLKAXX01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,SDSMDVXX01,0
StorageLevelStart,B_Optimised_VRE,GLOBAL,,,,,,,,,,SDSNPLXX01,0
