PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSBGDXX,,,1,,,,,,LDSBGDXX01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSBGDXX,,,2,,,,,,LDSBGDXX01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSBTNXX,,,1,,,,,,LDSBTNXX01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSBTNXX,,,2,,,,,,LDSBTNXX01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSINDEA,,,1,,,,,,LDSINDEA01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSINDEA,,,2,,,,,,LDSINDEA01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSINDNE,,,1,,,,,,LDSINDNE01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSINDNE,,,2,,,,,,LDSINDNE01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSINDNO,,,1,,,,,,LDSINDNO01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSINDNO,,,2,,,,,,LDSINDNO01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSINDSO,,,1,,,,,,LDSINDSO01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSINDSO,,,2,,,,,,LDSINDSO01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSINDWE,,,1,,,,,,LDSINDWE01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSINDWE,,,2,,,,,,LDSINDWE01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSLKAXX,,,1,,,,,,LDSLKAXX01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSLKAXX,,,2,,,,,,LDSLKAXX01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSMDVXX,,,1,,,,,,LDSMDVXX01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSMDVXX,,,2,,,,,,LDSMDVXX01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSNPLXX,,,1,,,,,,LDSNPLXX01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRLDSNPLXX,,,2,,,,,,LDSNPLXX01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSBGDXX,,,1,,,,,,SDSBGDXX01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSBGDXX,,,2,,,,,,SDSBGDXX01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSBTNXX,,,1,,,,,,SDSBTNXX01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSBTNXX,,,2,,,,,,SDSBTNXX01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSINDEA,,,1,,,,,,SDSINDEA01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSINDEA,,,2,,,,,,SDSINDEA01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSINDNE,,,1,,,,,,SDSINDNE01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSINDNE,,,2,,,,,,SDSINDNE01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSINDNO,,,1,,,,,,SDSINDNO01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSINDNO,,,2,,,,,,SDSINDNO01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSINDSO,,,1,,,,,,SDSINDSO01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSINDSO,,,2,,,,,,SDSINDSO01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSINDWE,,,1,,,,,,SDSINDWE01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSINDWE,,,2,,,,,,SDSINDWE01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSLKAXX,,,1,,,,,,SDSLKAXX01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSLKAXX,,,2,,,,,,SDSLKAXX01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSMDVXX,,,1,,,,,,SDSMDVXX01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSMDVXX,,,2,,,,,,SDSMDVXX01,1
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSNPLXX,,,1,,,,,,SDSNPLXX01,0
TechnologyFromStorage,B_Optimised_VRE,GLOBAL,PWRSDSNPLXX,,,2,,,,,,SDSNPLXX01,1
